,0,1,2,3,4,5,6
166,Term7,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
167,Term8,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
168,Term1,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
169,Term2,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
170,Term3,2013-2016,HES,Finished,HQAP75,FQW5,NoRetake
171,Term4,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
172,Term5,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
173,Term6,2013-2016,HES,Finished,HQAP75,FQW5,NoRetake
174,Term7,2013-2016,HES,Finished,HQAP50,FQW5,Retake
175,Term8,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
176,Term1,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
177,Term2,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
178,Term3,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
179,Term4,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
180,Term5,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
181,Term6,2013-2016,HES,Finished,HQAP75,FQW5,NoRetake
182,Term7,2013-2016,HES,Finished,HQAP50,FQW5,NoRetake
183,Term8,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
184,Term1,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
185,Term2,2013-2016,HES,Finished,HQAP75,FQW5,Retake
186,Term3,2013-2016,HES,Finished,HQAP75,FQW5,NoRetake
187,Term4,2013-2016,HES,Finished,HQAP75,FQW5,NoRetake
188,Term5,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
189,Term6,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
190,Term7,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
191,Term8,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
192,Term1,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
193,Term2,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
194,Term3,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
195,Term4,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
196,Term5,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
197,Term6,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
198,Term7,2013-2016,HES,Finished,HQAP75,FQW5,NoRetake
199,Term8,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
200,Term1,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
201,Term2,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
202,Term3,2013-2016,HES,Finished,HQAP85,FQW5,Retake
203,Term4,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
204,Term5,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
205,Term6,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
206,Term7,2013-2016,HES,Finished,HQAP50,FQW5,NoRetake
207,Term8,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
208,Term1,2013-2016,HES,Finished,HQAP100,FQW4,NoRetake
209,Term2,2013-2016,HES,Finished,HQAP100,FQW4,NoRetake
210,Term3,2013-2016,HES,Finished,HQAP75,FQW4,NoRetake
211,Term4,2013-2016,HES,Finished,HQAP75,FQW4,NoRetake
212,Term5,2013-2016,HES,Finished,HQAP85,FQW4,NoRetake
213,Term6,2013-2016,HES,Finished,HQAP85,FQW4,NoRetake
214,Term7,2013-2016,HES,Finished,HQAP50,FQW4,Retake
215,Term8,2013-2016,HES,Finished,HQAP100,FQW4,NoRetake
216,Term1,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
217,Term2,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
218,Term3,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
219,Term4,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
220,Term5,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
221,Term6,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
222,Term7,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
223,Term8,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
224,Term1,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
225,Term2,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
226,Term3,2013-2016,HES,Finished,HQAP50,FQW5,NoRetake
227,Term4,2013-2016,HES,Finished,HQAP75,FQW5,NoRetake
228,Term5,2013-2016,HES,Finished,HQAP75,FQW5,Retake
229,Term6,2013-2016,HES,Finished,HQAP-50,FQW5,Retake
230,Term7,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
231,Term8,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
232,Term1,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
233,Term2,2013-2016,HES,Finished,HQAP85,FQW5,Retake
234,Term3,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
235,Term4,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
236,Term5,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
237,Term6,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
238,Term7,2013-2016,HES,Finished,HQAP75,FQW5,NoRetake
239,Term8,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
240,Term1,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
241,Term2,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
242,Term3,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
243,Term4,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
244,Term5,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
245,Term6,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
246,Term7,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
247,Term8,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
248,Term1,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
249,Term2,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
250,Term3,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
251,Term4,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
252,Term5,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
253,Term6,2013-2016,HES,Finished,HQAP85,FQW5,NoRetake
254,Term7,2013-2016,HES,Finished,HQAP75,FQW5,NoRetake
255,Term8,2013-2016,HES,Finished,HQAP100,FQW5,NoRetake
256,Term1,2013-2016,OES,Finished,HQAP75,FQW3,Retake
257,Term2,2013-2016,OES,Finished,HQAP50,FQW3,Retake
258,Term3,2013-2016,OES,Finished,HQAP50,FQW3,Retake
259,Term4,2013-2016,OES,Finished,HQAP-50,FQW3,Retake
260,Term5,2013-2016,OES,Finished,HQAP-50,FQW3,Retake
261,Term6,2013-2016,OES,Finished,HQAP-50,FQW3,Retake
262,Term7,2013-2016,OES,Finished,HQAP50,FQW3,NoRetake
263,Term8,2013-2016,OES,Finished,HQAP100,FQW3,NoRetake
264,Term1,2013-2016,OES,Finished,HQAP75,FQW4,Retake
265,Term2,2013-2016,OES,Finished,HQAP75,FQW4,NoRetake
266,Term3,2013-2016,OES,Finished,HQAP85,FQW4,NoRetake
267,Term4,2013-2016,OES,Finished,HQAP100,FQW4,NoRetake
268,Term5,2013-2016,OES,Finished,HQAP85,FQW4,NoRetake
269,Term6,2013-2016,OES,Finished,HQAP85,FQW4,NoRetake
270,Term7,2013-2016,OES,Finished,HQAP50,FQW4,Retake
271,Term8,2013-2016,OES,Finished,HQAP100,FQW4,NoRetake
272,Term1,2013-2016,OES,Finished,HQAP50,FQW3,Retake
273,Term2,2013-2016,OES,Finished,HQAP-50,FQW3,Retake
274,Term3,2013-2016,OES,Finished,HQAP-50,FQW3,Retake
275,Term4,2013-2016,OES,Finished,HQAP-50,FQW3,Retake
276,Term5,2013-2016,OES,Finished,HQAP-50,FQW3,Retake
277,Term6,2013-2016,OES,Finished,HQAP-50,FQW3,Retake
278,Term7,2013-2016,OES,Finished,HQAP-50,FQW3,Retake
279,Term8,2013-2016,OES,Finished,HQAP75,FQW3,NoRetake
280,Term1,2013-2016,OES,Finished,HQAP50,FQW4,Retake
281,Term2,2013-2016,OES,Finished,HQAP50,FQW4,Retake
282,Term3,2013-2016,OES,Finished,HQAP-50,FQW4,Retake
283,Term4,2013-2016,OES,Finished,HQAP50,FQW4,NoRetake
284,Term5,2013-2016,OES,Finished,HQAP50,FQW4,Retake
285,Term6,2013-2016,OES,Finished,HQAP-50,FQW4,Retake
286,Term7,2013-2016,OES,Finished,HQAP-50,FQW4,Retake
287,Term8,2013-2016,OES,Finished,HQAP75,FQW4,NoRetake
288,Term1,2013-2016,OES,Finished,HQAP50,FQW5,Retake
289,Term2,2013-2016,OES,Finished,HQAP50,FQW5,Retake
290,Term3,2013-2016,OES,Finished,HQAP75,FQW5,Retake
291,Term4,2013-2016,OES,Finished,HQAP50,FQW5,Retake
292,Term5,2013-2016,OES,Finished,HQAP-50,FQW5,Retake
293,Term6,2013-2016,OES,Finished,HQAP-50,FQW5,Retake
294,Term7,2013-2016,OES,Finished,HQAP-50,FQW5,Retake
295,Term8,2013-2016,OES,Finished,HQAP75,FQW5,NoRetake
296,Term1,2013-2016,OES,Finished,HQAP75,FQW5,Retake
297,Term2,2013-2016,OES,Finished,HQAP75,FQW5,NoRetake
298,Term3,2013-2016,OES,Finished,HQAP75,FQW5,NoRetake
299,Term4,2013-2016,OES,Finished,HQAP75,FQW5,NoRetake
300,Term5,2013-2016,OES,Finished,HQAP50,FQW5,Retake
301,Term6,2013-2016,OES,Finished,HQAP50,FQW5,Retake
302,Term7,2013-2016,OES,Finished,HQAP75,FQW5,NoRetake
303,Term8,2013-2016,OES,Finished,HQAP100,FQW5,NoRetake
304,Term1,2013-2016,OES,Finished,HQAP75,FQW3,Retake
305,Term2,2013-2016,OES,Finished,HQAP50,FQW3,Retake
306,Term3,2013-2016,OES,Finished,HQAP-50,FQW3,Retake
307,Term4,2013-2016,OES,Finished,HQAP50,FQW3,Retake
308,Term5,2013-2016,OES,Finished,HQAP50,FQW3,Retake
309,Term6,2013-2016,OES,Finished,HQAP50,FQW3,NoRetake
310,Term7,2013-2016,OES,Finished,HQAP50,FQW3,Retake
311,Term8,2013-2016,OES,Finished,HQAP100,FQW3,NoRetake
312,Term1,2013-2016,OES,Finished,HQAP50,FQW5,Retake
313,Term2,2013-2016,OES,Finished,HQAP50,FQW5,Retake
314,Term3,2013-2016,OES,Finished,HQAP-50,FQW5,Retake
315,Term4,2013-2016,OES,Finished,HQAP85,FQW5,Retake
316,Term5,2013-2016,OES,Finished,HQAP50,FQW5,Retake
317,Term6,2013-2016,OES,Finished,HQAP75,FQW5,Retake
318,Term7,2013-2016,OES,Finished,HQAP75,FQW5,NoRetake
319,Term8,2013-2016,OES,Finished,HQAP100,FQW5,NoRetake
320,Term1,2013-2016,OES,Finished,HQAP75,FQW4,Retake
321,Term2,2013-2016,OES,Finished,HQAP50,FQW4,Retake
322,Term3,2013-2016,OES,Finished,HQAP-50,FQW4,Retake
323,Term4,2013-2016,OES,Finished,HQAP50,FQW4,Retake
324,Term5,2013-2016,OES,Finished,HQAP-50,FQW4,Retake
325,Term6,2013-2016,OES,Finished,HQAP-50,FQW4,Retake
326,Term7,2013-2016,OES,Finished,HQAP-50,FQW4,Retake
327,Term8,2013-2016,OES,Finished,HQAP50,FQW4,Retake
328,Term1,2013-2016,OES,Finished,HQAP75,FQW4,Retake
329,Term2,2013-2016,OES,Finished,HQAP75,FQW4,Retake
330,Term3,2013-2016,OES,Finished,HQAP-50,FQW4,Retake
331,Term4,2013-2016,OES,Finished,HQAP75,FQW4,NoRetake
332,Term5,2013-2016,OES,Finished,HQAP50,FQW4,Retake
333,Term6,2013-2016,OES,Finished,HQAP50,FQW4,Retake
334,Term7,2013-2016,OES,Finished,HQAP75,FQW4,NoRetake
335,Term8,2013-2016,OES,Finished,HQAP100,FQW4,NoRetake
336,Term1,2013-2016,OES,Finished,HQAP75,FQW5,NoRetake
337,Term2,2013-2016,OES,Finished,HQAP85,FQW5,NoRetake
338,Term3,2013-2016,OES,Finished,HQAP50,FQW5,Retake
339,Term4,2013-2016,OES,Finished,HQAP75,FQW5,NoRetake
340,Term5,2013-2016,OES,Finished,HQAP50,FQW5,Retake
341,Term6,2013-2016,OES,Finished,HQAP50,FQW5,Retake
342,Term7,2013-2016,OES,Finished,HQAP-50,FQW5,Retake
343,Term8,2013-2016,OES,Finished,HQAP100,FQW5,NoRetake
344,Term1,2013-2016,OES,Finished,HQAP75,FQW3,NoRetake
345,Term2,2013-2016,OES,Finished,HQAP50,FQW3,Retake
346,Term3,2013-2016,OES,Finished,HQAP50,FQW3,Retake
347,Term4,2013-2016,OES,Finished,HQAP75,FQW3,NoRetake
348,Term5,2013-2016,OES,Finished,HQAP50,FQW3,Retake
349,Term6,2013-2016,OES,Finished,HQAP50,FQW3,NoRetake
350,Term7,2013-2016,OES,Finished,HQAP-50,FQW3,Retake
351,Term8,2013-2016,OES,Finished,HQAP75,FQW3,NoRetake
352,Term1,2013-2016,OES,Finished,HQAP50,FQW5,Retake
353,Term2,2013-2016,OES,Finished,HQAP-50,FQW5,Retake
354,Term3,2013-2016,OES,Finished,HQAP-50,FQW5,Retake
355,Term4,2013-2016,OES,Finished,HQAP50,FQW5,NoRetake
356,Term5,2013-2016,OES,Finished,HQAP-50,FQW5,Retake
357,Term6,2013-2016,OES,Finished,HQAP-50,FQW5,Retake
358,Term7,2013-2016,OES,Finished,HQAP-50,FQW5,Retake
359,Term8,2013-2016,OES,Finished,HQAP75,FQW5,NoRetake
360,Term1,2013-2016,OES,Finished,HQAP50,FQW3,NoRetake
361,Term2,2013-2016,OES,Finished,HQAP50,FQW3,Retake
362,Term3,2013-2016,OES,Finished,HQAP-50,FQW3,Retake
363,Term4,2013-2016,OES,Finished,HQAP75,FQW3,NoRetake
364,Term5,2013-2016,OES,Finished,HQAP75,FQW3,Retake
365,Term6,2013-2016,OES,Finished,HQAP50,FQW3,Retake
366,Term7,2013-2016,OES,Finished,HQAP-50,FQW3,Retake
367,Term8,2013-2016,OES,Finished,HQAP75,FQW3,NoRetake
368,Term1,2013-2016,OES,Finished,HQAP-50,FQW3,NoRetake
369,Term2,2013-2016,OES,Finished,HQAP50,FQW3,NoRetake
370,Term3,2013-2016,OES,Finished,HQAP-50,FQW3,Retake
371,Term4,2013-2016,OES,Finished,HQAP75,FQW3,NoRetake
372,Term5,2013-2016,OES,Finished,HQAP75,FQW3,Retake
373,Term6,2013-2016,OES,Finished,HQAP50,FQW3,Retake
374,Term7,2013-2016,OES,Finished,HQAP-50,FQW3,Retake
375,Term8,2013-2016,OES,Finished,HQAP75,FQW3,NoRetake
376,Term1,2014-2017,HES,Expelled6,HQAP50,,Retake
377,Term2,2014-2017,HES,Expelled6,HQAP-50,,Retake
378,Term3,2014-2017,HES,Expelled6,HQAP-50,,Retake
379,Term4,2014-2017,HES,Expelled6,HQAP50,,Retake
380,Term5,2014-2017,HES,Expelled6,HQAP50,,Retake
381,Term6,2014-2017,HES,Expelled6,HQAP-50,,Retake
382,Term1,2014-2017,OES,Finished,HQAP75,FQW4,Retake
383,Term2,2014-2017,OES,Finished,HQAP-50,FQW4,Retake
384,Term3,2014-2017,OES,Finished,HQAP50,FQW4,Retake
385,Term4,2014-2017,OES,Finished,HQAP50,FQW4,Retake
386,Term5,2014-2017,OES,Finished,HQAP-50,FQW4,Retake
387,Term6,2014-2017,OES,Finished,HQAP-50,FQW4,Retake
388,Term7,2014-2017,OES,Finished,HQAP-50,FQW4,Retake
389,Term8,2014-2017,OES,Finished,HQAP-50,FQW4,Retake
390,Term1,2014-2017,OES,Finished,HQAP50,FQW4,Retake
391,Term2,2014-2017,OES,Finished,HQAP50,FQW4,Retake
392,Term3,2014-2017,OES,Finished,HQAP75,FQW4,NoRetake
393,Term4,2014-2017,OES,Finished,HQAP50,FQW4,Retake
394,Term5,2014-2017,OES,Finished,HQAP50,FQW4,Retake
